Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
92;BGM-0014;5;7;3;5;3;6;2;7;3;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;1;3;3;1;5;110;16.98;5.46;3.112927312;29.74;2.636666667;25.82222222;61.57111111;5.45366655356835;3.79212194654307;3.75196301992367;4.45825632254224;33.3252770591193;12.3951184010581;15.2575514210779;44.9950209475282;1.99070077993071
93;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;2;1;3;0;2;0;4;7;2;5;0;16.08;6.78;2.373022181;24.72;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.06392172880116;4.90936528784969;34.1641841481215;11.5522899857607;25.666043632158;30.8034581646069;2.18048952790009
100;BGM-0022-TB;7;5;5;5;2;6;4;5;4;3;1;3;1;4;3;7;5;1;1;1;2;3;1;2;7;5;2;0;3;3;1;5;90;13.26;3.98;3.335392535;18.46;2.75;32.77777778;62.88777778;4.61724968312554;3.40930013005686;3.73020186310042;6.18975102283357;36.8343488804279;13.2262595728159;15.0342772450913;47.728391261537;1.67290975654313
111;BGM-0035;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;7;5;1;2;1;2;0;2;2;3;0;3;0;4;3;3;5;100;12.64;4;3.162242826;19.22;2.783333333;27.08888889;53.11555555;7.85020677948608;4.87512003423072;3.77939893066585;6.25043782936294;34.9289683074742;24.6606594359454;25.7482070929888;46.7055447384426;1.80617877166847
117;BGM-0043;5;5;5;3;3;7;1;3;3;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;1;4;5;1;7;90;15.5;4.98;3.115268542;27.28;2.44;40.66666667;53.53;4.28434784825581;4.64417615127636;3.21730391270142;6.21253336602479;31.7158581151295;23.8288911584818;19.805060394423;50.3912395964113;1.98681200707438
118;BGM-0044;5;7;5;3;3;6;3;5;4;1;1;7;0;2;3;7;5;1;1;1;1;0;1;2;7;5;3;0;3;3;2;5;0;10.8;3.52;3.074278904;18.3;2.853333333;26.45833333;69.30416667;6.65159640883907;3.93276959245741;3.02291236141112;6.34714069066767;34.394964095737;24.5846097548875;23.6923390460884;47.376050118173;2.00075841283627
122;BGM-0048;3;2;5;3;3;9;3;3;4;3;1;5;0;5;3;3;5;1;4;1;2;3;1;2;7;5;3;1;4;3;1;5;100;12.48;3.42;3.652990913;12.56;2.313333333;26.625;63.49583333;6.33410981385242;3.99651673673015;3.30794873649863;6.00476027879643;36.1727089514975;20.0312615920708;20.4292158421127;48.4281362064872;2.19083039723447
123;BGM-0049;7;3;5;3;3;7;1;3;1;2;3;5;1;2;3;3;5;1;2;1;1;0;2;3;3;5;3;0;4;3;2;7;0;14.52;5.04;2.883088235;23.32;2.656666667;36.66666667;66.16;6.94311312151789;4.38390777504655;2.84770087286945;8.18158028560064;37.3243785443933;30.6483893508418;35.4016169346381;43.5091227323537;2.24978703006871
127;BGM-0054;7;5;3;3;2;5;4;5;4;4;2;3;0;5;3;7;5;1;2;1;2;0;1;1;7;5;3;1;4;5;3;5;120;14.68;4.66;3.159751125;23.52;3.813333333;20.625;67.3325;5.83045969618086;3.13048810438223;3.88231385490026;4.42165292813451;33.3264013527723;13.9862344045643;22.5340196642738;35.6523854778229;1.94652279989713
128;BGM-0056;3;3;5;3;3;7;1;3;1;1;1;5;0;5;3;3;5;1;1;1;1;0;2;2;3;5;3;0;4;3;3;5;0;12.2;3.22;3.79625;16.82;3.39;35.97916667;73.11833333;7.27866053785324;4.69059957787702;2.42077776689691;7.59108212804462;34.315104922163;30.2515482680759;23.6639955632495;54.3269004048465;2.05948012219348
172;BGM-0119;5;3;5;3;3;8;2;3;4;2;1;7;0;5;3;3;5;1;2;1;2;1;2;2;7;5;3;0;4;3;3;5;100;16.24;3.9;4.172413387;29.34;3.136666667;26.08333333;66.23666667;7.92154278878565;3.63485894902704;3.62461258414831;5.13574277900339;36.9923085839775;14.5589702477853;21.0615784106671;42.9074005989626;1.79833472298578
184;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;3.94119169843788;5.17305917705686;2.82029154637506;6.31125935110571;37.3242101339876;19.5384700356289;23.3931257203961;44.4268636268417;2.18521298502553
189;BGM-0140;5;3;5;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;2;1;3;2;2;2;7;0;2;0;3;3;1;5;90;17.2;6.02;2.861694959;29.82;2.593333333;25.625;66.27333333;6.64368734787995;4.59244635391803;3.94085053015059;6.47579252391579;37.7531943192444;19.0364662875737;24.5051604560394;44.9738994199962;1.88118770346851
214;BGM-0164;7;5;5;3;3;6;2;3;3;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;5;0;17.78;4.82;3.686520842;26.46;2.953333333;19.95833333;61.81416667;4.12627244213168;4.6613335615808;3.6473182023191;5.97606692438447;35.2810431910515;18.1640977594113;21.2210190963106;46.8914436823691;1.84572036635057
255;BGM-0220;3;3;5;3;2;7;2;3;3;1;1;5;0;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;3;5;80;10.78;3.3;3.265106484;15.78;2.616666667;25.20833333;62.97083333;3.3682879190017;4.2021869950758;2.88003445920104;5.21279618799625;34.9838548589805;18.6890207974678;21.6871365331271;44.7694904913482;1.95266220944809
256;BGM-0221;9;9;5;7;3;7;1;5;1;1;1;5;0;5;3;7;5;1;2;1;1;0;2;2;3;0;3;0;3;3;2;5;0;10.74;2.66;4.187824807;14.14;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54078606651365;5.41007002308741;33.6001851012856;17.2228431674287;24.1184572382013;41.8376680354329;2.13184153514083
286;BGM-0270;9;7;5;5;3;6;3;5;4;1;1;5;0;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;3;3;1;5;110;11.22;3.56;3.161530049;14.8;2.016666667;24.20833333;49.12;3.64805479036986;3.50291338878458;3.64798776416302;4.74885427619157;36.7556677918794;11.9542409320963;16.6127397733741;38.8509086677369;2.13168611450706
301;BGM-0289;5;5;5;3;3;6;3;5;2;1;1;5;1;4;3;3;5;1;1;1;2;1;2;2;3;5;3;0;4;3;3;5;90;12.22;2.06;5.972629843;14.42;2.186666667;24.625;60.9525;3.56855205723138;4.46214573763395;3.05451121262422;6.32911324156024;35.3347408117222;21.9699245386735;21.6133028602764;49.9411391299984;1.89287466207696
303;BGM-0294;5;1;5;3;2;3;4;3;4;1;1;3;0;5;3;3;5;1;2;1;3;2;2;2;7;5;2;0;4;3;2;5;90;14.34;3.44;4.189697232;19.44;1.65;20.29166667;49.03333333;3.52508755488252;3.352344626702;3.73150053557762;4.75075673132429;34.0031020315232;11.4033193861902;14.0219800761673;43.1436475087813;1.65069945880202
304;BGM-0295;5;1;5;9;2;8;3;3;4;1;1;3;0;5;3;3;5;1;1;1;1;0;2;2;7;0;3;1;4;3;2;7;0;12.12;2.9;4.199019969;16.48;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.47970860478025;4.71365410792537;33.7814876273518;13.4908309192187;20.9212393852813;33.6421861547522;1.78245518380456
313;BGM-0312;5;3;5;3;2;8;3;5;4;3;2;5;0;5;3;3;5;1;3;2;2;2;2;2;7;0;3;1;4;3;2;5;90;14.16;4.48;3.163987142;16.82;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.39368201120258;5.2710710860365;32.5651391945317;14.1309088908332;24.3955637501386;32.9850864233946;1.95526216609107
332;BGM-0342;5;5;5;3;3;9;3;5;4;1;1;3;1;5;3;3;5;1;2;1;3;2;2;2;7;3;2;1;3;3;3;5;90;12.36;2.84;4.347891843;18.36;2.196666667;20.33333333;49.1475;8.06786069375194;4.36884045739659;3.47581558715251;5.78338790394146;32.1053664149728;13.3446875894174;18.5432740946958;38.1917766555348;1.96819698575244
355;BGM-0382;7;7;5;7;2;4;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;1;2;7;5;3;0;3;7;2;5;0;18.94;5.78;3.280429412;27.62;3.023333333;22;75.59333333;4.28434784825581;4.35679987959691;2.8780721794746;7.68609828941294;34.7185176333722;29.8611814783604;21.5167908874214;54.2937345172932;1.90836328284624
356;BGM-0383;5;7;5;3;3;6;3;5;4;2;1;3;1;2;3;3;5;1;2;1;3;2;2;3;7;3;3;1;4;7;1;5;120;10.34;3.72;2.779532164;10.8;3.113333333;22.66666667;54.17333333;3.80965615424977;4.03559442651072;4.28275267937663;3.8213909165765;36.4953408925894;9.98632520720511;11.2529633750229;49.780373362636;1.64592692627692
368;BGM-0400;5;1;5;3;2;3;2;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;3;5;3;1;4;3;3;5;100;11.82;4.16;2.845564581;14.8;2.3;24.5;61.855;6.16294112383206;4.3683562813552;2.68020785097724;6.9260515962547;36.0213488029429;19.9680971679836;22.1727144699581;47.3111854863422;2.07445905105838
379;BGM-0419;7;7;3;5;2;3;2;5;4;4;2;3;0;5;7;3;5;1;2;1;3;3;2;3;7;5;3;1;4;7;1;7;100;15.38;4.28;3.627276856;25.62;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.93246667943954;4.95858527350316;34.7897383592017;15.2360162694748;20.9976394580945;40.7085466393809;2.1347100768407
386;BGM-0426;5;5;5;3;3;9;3;5;4;1;1;5;1;5;3;3;5;1;2;1;2;2;2;2;7;5;2;1;4;3;1;7;100;14.98;4.52;3.316509882;23.66;2.15;25.9975;62.31666667;8.10458085167687;3.16341224970411;4.03954812565169;5.80304867132625;34.3799339147539;17.9124043248057;18.5733921349833;47.0786850896516;1.80914082524252
396;BGM-0440;5;5;5;5;3;5;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;7;2;5;0;15.82;2.1;7.544771018;24.68;2.173333333;29.12416667;67.64333333;7.40612906247542;3.36067249270488;3.87150526278123;4.94031424951851;33.8565632170719;15.4519500552114;12.9197409889955;53.2761523548913;1.72086226004739
407;BGM-0456;7;5;5;3;3;9;2;3;4;1;1;5;1;5;3;7;5;1;2;1;3;2;1;1;7;5;3;0;4;7;1;7;80;15.56;5.48;2.853416723;24.64;2.803333333;26;43.54333333;6.18753892481935;3.83251134209655;2.96413675871281;3.93996974724592;32.3669405386851;8.91314782514265;23.2508354548349;28.3578112549659;2.17142770502008
408;BGM-0460;7;7;5;3;2;7;1;5;2;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;3;0;3;1;4;7;2;3;90;16.74;4.32;3.872907865;21.18;2.476666667;24.66666667;50.825;6.06805724892766;4.65760061131967;3.75074562120487;6.9182277375139;35.3814695612313;18.8072510315634;26.6579109689135;43.717984555464;2.01357439729792
410;BGM-0462;5;7;5;3;3;5;3;5;4;3;1;5;1;5;3;3;5;1;2;1;2;3;2;2;7;3;2;0;3;3;1;5;90;8.26;2.56;3.348398269;11.38;2.04;24;57.86666667;4.88114182738644;2.82609067459682;3.47579743439796;4.90947799000197;35.1476918345243;13.7397579788102;15.7347168392111;36.2956747006797;1.79575712642151
412;BGM-0464;7;5;5;3;2;5;4;5;4;3;1;1;1;5;1;3;3;1;2;2;2;3;2;3;7;3;3;1;3;3;2;5;120;8.34;2.86;2.933333333;6.94;2.206666667;30.33333333;42.88;6.18753892481935;3.63279095533899;3.54124486765091;4.40639596775491;34.6609065397897;11.8693829105665;19.4174831369172;31.2516303953776;1.99594548025586
413;BGM-0465;7;3;5;3;3;9;2;3;4;1;1;5;1;5;3;3;5;1;3;1;3;3;2;3;7;5;3;0;4;7;3;7;70;19.34;6.14;3.15078387;24.5;1.386666667;19.44444444;60.84777778;7.85020677948608;3.94565753995376;3.59157027027839;5.67103484321212;36.765783518319;18.8385191868896;20.9325557303311;47.5520614792849;2.12176400350241
414;BGM-0467;5;3;5;3;3;5;1;3;1;3;1;5;1;5;3;3;5;1;1;1;3;2;2;2;3;5;3;0;4;3;2;5;90;22.76;3.9;5.845943188;34.1;2.213333333;20.83333333;62.16416667;8.11554627617207;4.14853822698618;3.09539042908074;5.20998144244159;34.9078052307045;14.1426390505317;16.8546819318803;46.352369846874;1.74934554692681
418;BGM-0471;5;7;5;3;2;4;1;5;1;3;1;5;1;5;3;7;5;1;1;1;4;1;2;2;3;5;3;0;4;3;3;5;90;13.48;2.76;4.898919325;19.96;3.266666667;29.25;77.38083333;8.11495971771416;4.00953545479671;3.60512748254888;5.71613333407585;35.446606612288;18.2180409829083;16.7699200824351;51.8387481926924;1.89683132315076
421;BGM-0474;5;2;5;3;3;6;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;3;1;5;100;12.56;2.38;5.306841709;14.42;2.256666667;21.375;50.12916667;5.08485033386502;3.67502971988732;3.37127330481644;5.0127485113139;34.8790936447027;15.15958415935;20.4251475294863;39.323473429736;1.59811162824412
429;BGM-0492;7;1;5;3;2;6;2;3;2;1;1;5;1;2;3;3;5;1;2;1;3;3;2;4;3;3;3;0;4;3;3;5;90;16.44;4.04;4.063322259;23.32;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.97943792732713;8.61121741595105;37.0920564187998;28.6887112890409;32.2268701537836;44.0328656497679;2.0667173489944
433;BGM-0498;5;2;5;3;3;6;3;3;4;1;1;5;1;5;3;7;5;1;1;1;2;0;2;1;7;5;3;0;4;3;2;5;90;18.72;6.26;2.996159611;29.2;2.963333333;25.79166667;76.53;8.01429672277034;4.01919683178158;3.01576037730068;6.43015010750325;32.0543750826755;22.1996620297833;22.3232313891245;52.1036602656757;2.02771836902683
437;BGM-0503;7;5;5;3;3;7;2;5;4;2;2;5;1;5;3;7;5;1;1;1;1;0;2;3;7;5;3;0;4;7;2;3;0;11.32;2.96;3.834375517;19.14;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;2.94825244222323;5.62836309476263;31.87118156088;12.5929044299405;15.4186882094162;36.6130049499599;1.88906232509605
442;BGM-0509;7;3;5;3;2;7;1;5;2;1;1;3;1;5;3;3;5;1;4;1;1;0;2;2;3;5;2;0;3;5;1;7;0;14.66;3.58;4.092277753;20.96;1.716666667;21.55555555;45.87111111;7.85020677948608;3.31672193256688;2.670026281615;3.38414640035066;32.030126858375;8.40092655564764;12.6667234198657;30.3587342353466;2.21713638510864
443;BGM-0510;5;1;5;3;3;3;3;3;4;4;1;5;1;5;3;3;5;1;2;1;2;3;2;2;7;5;3;0;3;3;1;3;90;10.72;3.72;2.881017871;12.48;2.536666667;26;55.39;3.88567711685818;4.05499309983947;4.17683371774054;5.32002175768179;32.6900236833954;18.8134615123815;23.5781556070396;42.6314018098662;1.94362914722891
449;BGM-0521;5;3;5;3;3;9;3;5;4;1;1;5;1;5;7;7;5;1;1;1;2;2;2;3;7;5;3;1;4;3;3;5;80;12.22;3.46;3.527685385;15.24;2.436666667;23.5;63.76666667;7.46584821847153;4.45816236140732;3.49910183967841;5.99658844123372;34.7685607153712;17.5081945775817;17.129993791361;49.2173951609365;2.02013504765677
466;BGM-0550;5;7;5;3;1;5;4;5;4;2;1;5;0;5;7;7;5;1;1;1;2;3;2;2;7;0;2;1;3;5;1;5;90;14.32;3.38;4.22812084;19.54;3.48;28.77777778;46.17777778;7.85020677948608;3.98772387558077;3.38055986963247;4.29936355186766;34.9843701741823;13.0226852474866;20.0592254319721;38.9694980206004;2.01137627551534
467;BGM-0551;5;7;5;5;3;9;3;5;4;1;1;5;1;2;3;7;5;1;1;1;1;0;2;3;7;3;2;0;3;3;1;5;0;11.6;3.56;3.269304906;13.12;2.246666667;26.83333333;48.7375;3.50397171999933;4.41037582784884;3.74214082039359;5.28763920987007;35.919416449757;15.4872299724245;21.8300944309286;40.102569021892;2.08631027753416
474;BGM-0561;7;7;5;5;2;7;1;5;1;1;1;5;1;2;7;7;5;1;1;1;1;0;2;2;3;5;3;0;4;7;2;3;0;11.98;4.02;2.990115876;14.08;2.15;22.41666667;44.00916667;8.02220578372947;5.03278094021951;3.50403828739553;4.11599000221036;34.7812170724791;9.47915355911185;16.6737612572478;38.2855752375594;1.69560143830538
478;BGM-0565;3;3;5;3;3;9;3;3;4;2;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;3;2;1;3;3;2;5;90;12.72;3.52;3.636515351;14.3;6.393333333;13;66.34333333;6.18753892481935;3.30168555841767;3.37649403644386;4.87123977170531;33.2214222020389;13.3564330727024;16.7903673203482;40.2257750160653;1.99201466553829
480;BGM-0570;9;5;5;3;3;9;2;5;3;1;1;7;1;7;3;7;5;1;2;1;2;1;2;2;7;5;3;0;4;3;2;5;0;13.18;2.52;5.229208896;22.82;2.113333333;23.625;50.305;5.71767250644684;3.9669167964261;2.971640640846;5.69630079963863;33.9993306524939;19.1175053765252;19.5851034762186;48.4298708061429;1.78010389455426
487;BGM-0585;9;7;3;3;1;4;1;5;1;3;1;5;1;3;3;3;5;1;1;1;3;2;1;2;3;5;3;0;3;3;3;5;90;17.18;3.16;5.452007169;25.62;3.013333333;35.55555555;68.96555555;7.98793097521965;4.02926642811418;3.69252691852626;6.022640912611;35.2758743557448;18.493064043151;18.0157632839631;51.2112460300738;1.81502356922532
493;BGM-0593;7;5;5;3;3;9;2;3;3;1;1;5;1;5;3;3;3;1;1;1;1;0;2;2;7;5;3;0;3;3;1;5;0;12.76;3.12;4.129897593;17.72;2.14;23.19444444;50.88222222;4.48638948133082;4.37534192217854;2.98149992152214;5.28457956661721;35.525803857478;16.519835386163;13.4753991748627;52.4482923608521;2.00626639352082
516;BGM-0626;7;3;5;5;3;9;2;5;4;1;1;5;0;5;7;7;3;1;1;1;2;3;1;3;7;3;3;1;3;3;1;5;100;14.04;4.34;3.234448872;20.72;2.456666667;20;47.72333333;6.02695723293327;3.8709290019978;3.08570416026347;3.72421558519319;36.2837273492503;8.88505839245753;21.5965444807764;29.4391750985366;1.74796238290051
533;BGM-0652;7;7;3;5;2;4;4;5;4;1;1;5;0;4;7;7;5;1;1;1;1;0;1;2;7;0;3;0;3;3;2;5;0;15.22;3.78;4.025881752;22.6;1.826666667;31.33333333;48.49666667;6.18753892481935;3.86424796575419;3.03545623814806;5.18064218410072;35.6344695983865;13.7972252893822;16.6082888563101;43.6500209210706;1.77278451762349
536;BGM-0657;5;1;5;3;3;6;3;3;3;3;1;5;1;5;7;7;5;1;2;1;2;2;2;2;7;5;3;1;4;3;2;3;100;14.38;3.52;4.086127572;15.66;2.436666667;24.08333333;57.47666667;4.83275115816555;5.06110063285646;4.05176954491405;5.00756575346202;35.8098202045043;13.2930793966894;15.9586324681022;43.8322826898827;1.80673017741266
541;BGM-0662;9;5;5;3;1;5;4;5;4;4;1;5;0;5;7;3;5;1;2;1;3;1;2;2;7;5;2;0;3;5;2;3;90;12.38;3.3;3.75986631;17.44;2.823333333;27;60.37166667;8.00806747446013;3.20242892287061;4.15034744383942;5.92773507999397;36.425666807996;15.6027328922371;12.3361075827919;53.2768232997264;1.45349551637751
547;BGM-0669;3;7;5;5;3;6;1;5;1;1;3;5;1;5;7;3;5;1;1;1;2;2;2;2;3;5;3;0;4;3;3;5;100;10.44;2.88;3.640849219;15.1;3.033333333;27;59.2825;8.08668309917548;4.21605794695726;4.31516765668583;5.71605117555961;34.7048743376183;17.7129910106768;16.9770173076876;43.9893358143614;1.95228967517101
